0,044000000                                                         
0,507000000                                                         
0,108000000                                                         
0,048000000                                                         
0,115000000                                                         
0,039000000                                                         
0,300000000                                                         
0,098000000                                                         
0,052000000                                                         
0,064000000                                                         
